"","Insulation","Temperature","Num_Occupants","Avg_Age","Home_Size","predit"
"71",6,70,4,40.7,3,182.98653014476
"72",2,52,10,20.9,6,154.320777135503
"73",3,38,2,55.4,5,236.626108221487
"74",5,64,9,17.8,1,132.175568401897
"75",10,87,2,52.1,2,201.276536453487
"76",3,55,6,34.8,2,170.75115452841
"77",5,38,3,62.9,5,257.751802661319
"78",7,86,6,44.9,5,186.45473577662
"79",5,47,6,52.3,8,237.792452812625
"80",3,70,3,72.2,4,238.373676151555
"81",4,47,4,22,8,175.440614558446
"82",8,49,8,46.1,3,217.445611910372
"83",9,88,10,37.8,7,182.67579710023
"84",2,68,10,65.3,8,234.027210709456
"85",6,38,5,27.9,2,182.221291071329
"86",2,81,3,17.1,3,113.990957286197
"87",7,50,8,51.2,4,226.447344049132
"88",8,85,6,49.5,7,206.035953758445
"89",8,76,1,30.1,7,177.073254552338
"90",3,72,7,47.9,5,190.960153924696
"91",6,65,3,53.6,6,222.47868967168
"92",7,61,1,54.6,2,219.101608929802
"93",8,48,8,53.5,6,242.377111525986
"94",2,53,4,27.4,8,174.185429493966
"95",4,87,8,26.7,3,132.949466149456
"96",3,82,6,52,4,187.418175213009
"97",6,67,1,25.7,6,166.430470607132
"98",9,71,8,47.5,5,210.727883512045
"99",8,74,9,30.2,3,164.171981600316
"100",10,42,9,33.2,7,217.244181239322
"101",8,63,1,68.9,3,251.969954855151
"102",8,50,6,51.5,1,221.385991451809
"103",6,78,4,66.9,6,237.046032875708
"104",7,58,6,58.2,3,230.615047157798
"105",5,53,7,51.6,3,215.0703077776
"106",6,78,5,23.3,8,157.410492663564
"107",9,88,8,63.8,3,221.638905166905
"108",4,45,8,72.6,8,275.574951587931
"109",2,63,3,29,7,165.728909427802
"110",10,61,6,53.8,5,235.675235242167
"111",10,79,9,54.5,5,220.585734780163
"112",5,43,9,59,7,250.464747618235
"113",5,70,8,39.8,3,176.815945618077
"114",4,88,1,35.9,2,148.876252272405
"115",6,85,7,25.9,5,146.379675685248
"116",9,74,4,61.4,3,230.17576611013
"117",7,78,5,72.8,3,242.186376611834
"118",5,58,4,57.6,1,216.979425846377
"119",7,52,1,57,7,247.506465942458
"120",3,55,10,40.4,1,177.512382206594
"121",9,67,9,39.9,6,202.169939080571
"122",2,45,1,17.5,1,140.28957314118
"123",4,61,1,32.2,2,165.090774678793
"124",5,73,8,58.3,3,210.573769017766
"125",5,70,3,70.2,6,247.436091988039
"126",3,59,3,68.3,3,237.104684702802
"127",2,80,2,38.2,6,166.123102291209
"128",10,42,4,30.3,6,209.716597214026
"129",9,61,1,20.8,4,165.65105873733
"130",6,76,10,60.7,2,212.298033244123
"131",8,82,8,72.6,3,240.832141409929
"132",7,51,1,72.4,1,259.620908896767
"133",5,89,2,65.1,7,224.322272998344
"134",9,70,3,67.4,1,239.376314515525
"135",3,55,7,20.8,7,158.818313618492
"136",3,48,8,70.1,6,258.38209326157
"137",2,39,6,53.1,7,233.176472771955
"138",8,85,3,63.5,3,221.678222090487
"139",5,54,4,55.1,3,221.887614433302
"140",10,69,4,61.1,5,243.604193201773
"141",2,52,3,44.2,4,195.663994150451
"142",5,54,3,70.5,2,249.258638055341
"143",9,70,8,27.8,7,179.214244956717
"144",3,42,4,66,1,240.760096312542
"145",8,71,5,22.6,2,149.745883685188
"146",5,53,5,44.4,2,198.282836322021
"147",4,59,7,29.9,2,160.695499113808
"148",8,61,5,63.4,4,244.993493778559
"149",6,82,2,71.7,3,234.025629980221
"150",2,51,10,70.6,2,240.205747250054
"151",9,56,4,27.4,4,182.168209318313
"152",5,69,6,68.7,8,250.893438192727
"153",8,53,3,67.9,1,251.822476414318
"154",10,44,10,32.9,1,195.616563097204
"155",10,73,1,23.7,3,161.066800897966
"156",8,56,5,27.7,4,179.16348094236
"157",5,60,8,61.7,6,238.08113296
"158",10,62,5,47.4,8,232.007570265627
"159",10,74,10,18.9,2,145.168815166072
"160",10,75,1,30.8,8,189.141792704403
"161",3,63,4,43,7,196.306896817646
"162",7,41,3,30.8,2,189.175808524427
"163",4,67,1,67.1,7,244.335756182428
"164",2,81,3,16,7,124.514598643841
"165",4,58,6,49.7,6,213.443592502895
"166",2,41,2,51.9,5,223.810453130143
"167",10,78,4,25.4,5,165.595194789493
"168",10,86,4,48.2,2,193.941861947929
"169",8,56,9,33.6,7,199.200493136697
"170",3,79,10,41.7,1,159.189682723354
"171",4,72,7,29.5,1,145.428604573755
"172",4,73,7,55,2,197.858508736682
"173",9,73,2,25.9,3,161.797123951416
"174",4,85,4,69.6,5,226.44170571884
"175",5,65,1,71.6,3,245.5612607208
"176",9,53,7,55.3,7,248.33192682236
"177",7,85,9,58.2,8,222.17767668822
"178",5,62,8,60.8,6,234.57204299009
"179",9,87,6,24.6,6,155.501271468775
"180",10,73,1,48.8,3,210.408796096922
"181",10,77,5,57.6,6,232.666966097858
"182",10,44,5,26.2,2,186.96189598991
"183",10,62,8,24.3,4,173.104292296056
"184",6,40,10,35.7,7,210.327560622718
"185",5,74,10,71.2,6,244.039486997212
"186",10,82,8,32.4,3,168.457345573187
"187",2,68,10,32.9,8,170.334754755424
"188",7,41,3,65.2,2,256.799897562041
"189",6,40,2,59.2,6,255.504409601289
"190",3,90,4,52.3,4,181.586417380078
"191",3,62,9,52,5,207.181359623805
"192",3,65,9,50,7,206.982963693584
"193",9,40,6,63.9,5,270.47294610675
"194",5,43,1,60.9,6,253.179959294118
"195",8,88,7,17.7,2,124.786696897163
"196",6,83,3,70.5,4,233.699273710466
"197",3,73,5,57.5,6,212.671492606866
"198",7,80,8,64,2,219.16894977279
"199",5,81,8,63.5,8,229.694144147908
"200",10,67,4,34.4,8,202.37127628346
"201",3,40,1,35.3,3,189.299279639242
"202",2,56,4,64.5,4,231.821401017355
"203",6,57,1,30.1,7,186.950848690904
"204",9,73,9,22.6,6,162.941747660693
"205",7,63,6,60.9,6,241.087643780101
"206",5,47,6,40.6,5,205.277869608458
"207",3,82,3,58.5,4,201.002859035233
"208",2,73,7,59.7,7,216.30436678186
"209",4,90,5,50.8,2,175.351228595353
"210",7,80,2,22,4,144.561427395534
"211",6,77,10,35.7,8,181.31175148862
"212",5,49,1,59.3,3,235.300557915149
"213",2,74,2,40.5,4,169.521025807413
"214",8,86,5,71.8,5,242.92967408929
"215",4,48,8,31.5,7,188.998599208467
"216",3,86,6,51.1,3,178.997720272399
"217",3,77,1,47.9,7,194.567288596922
"218",10,74,8,72.9,3,255.032335844915
"219",4,41,10,18.6,1,150.16208174326
"220",5,64,7,35.6,6,183.562569821518
"221",6,41,1,56,4,242.269808116461
"222",6,59,9,33.8,2,174.475295236331
"223",8,59,7,51,3,218.647796320522
"224",3,56,3,24.3,8,169.076088929458
"225",6,90,1,56.2,7,209.551051573744
"226",2,89,1,32,1,130.517101186608
"227",7,87,7,58.6,7,218.590555867956
"228",9,68,8,43.5,2,195.959870303116
"229",9,79,3,53.4,3,210.368554836918
"230",2,69,6,24.6,1,132.023815766026
"231",4,65,7,44.5,4,190.519875153873
"232",2,50,3,60.4,2,222.907057432957
"233",6,41,6,21.1,8,185.004056527265
"234",3,89,10,72.7,8,233.631289326217
"235",5,70,1,28.7,2,153.706583483815
"236",9,64,3,26.5,8,186.394552421987
"237",4,76,2,20.5,1,125.601339367342
"238",8,42,7,41.6,2,211.78637913881
"239",2,49,1,63.5,3,233.580443675783
"240",2,78,9,63.2,2,202.439619996646
"241",4,88,9,57.1,1,185.228382935089
"242",9,48,8,42.5,5,220.90713424951
"243",10,50,1,20.9,4,178.742357915774
"244",6,75,9,71.5,5,244.182267868688
"245",10,40,2,45,3,231.377343329163
"246",5,55,1,31.7,4,178.995966003226
"247",4,65,6,27.5,8,170.0559922639
"248",6,84,5,31.8,3,153.042818579877
"249",7,76,9,17.9,2,131.755558593955
"250",6,75,8,68.3,8,247.675143367028
"251",9,48,9,65.9,4,263.466772672158
"252",8,87,3,61.3,5,221.956590393056
"253",2,70,4,24.6,7,150.72086508902
"254",4,72,7,41,1,168.035494804352
"255",2,49,8,17.4,1,134.730569954383
"256",2,66,9,47.8,6,195.291215300462
"257",9,43,4,60.7,1,249.424428529679
"258",2,55,4,61.4,4,226.597297278952
"259",6,55,8,55.8,3,224.643437975594
"260",7,84,6,18.5,2,126.782504490421
"261",4,81,5,57.2,8,214.790861663576
"262",8,38,10,54,8,257.864397451455
"263",6,82,10,25.2,4,143.635000540455
"264",7,78,7,31.6,5,166.999837333127
"265",10,48,5,68.9,5,276.937081825006
"266",3,73,10,19.8,7,140.386925035443
"267",9,90,8,72.5,7,249.687693551805
"268",9,46,2,61.2,6,264.193021152868
"269",4,65,5,62.2,1,216.338215812085
"270",6,46,6,70,7,273.611337826702
"271",10,88,5,17.7,4,138.31866335095
"272",10,52,9,31.3,7,204.809854398432
"273",10,51,9,17.3,8,181.329860242909
"274",6,74,9,57.9,5,218.317090441477
"275",10,58,10,16.4,5,163.687644135184
"276",3,54,7,37.1,3,179.045011237221
"277",2,49,9,38.3,8,197.747746129782
"278",7,74,6,68.7,2,234.165770299821
"279",2,79,3,56.2,4,195.76574904093
"280",9,88,7,64.9,6,233.584791794947
"281",8,56,10,41.4,3,201.578863842192
"282",8,39,1,17.1,2,167.847409089537
"283",4,60,5,70.8,8,259.794444996058
"284",3,45,1,43.3,4,203.847684156231
"285",8,46,7,58.9,8,261.344354477623
"286",2,44,2,62.4,5,241.841744195503
"287",4,79,3,24.3,3,136.535720612649
"288",10,68,5,34.9,4,189.529258692731
"289",8,49,6,70.9,8,282.593329122531
"290",6,89,10,18.3,1,114.466843948844
"291",8,57,1,70.5,4,263.506336457312
"292",9,75,3,42.8,2,189.839099770124
"293",6,55,6,19,7,165.525346325018
"294",2,90,1,35.8,8,159.317845723091
"295",2,67,4,38.3,3,167.576294781389
"296",8,51,8,56.9,7,249.622615033034
"297",10,69,6,57.4,4,232.621244575022
"298",5,46,1,40.7,8,217.203702303299
"299",7,57,10,47,1,202.048974586637
"300",2,38,3,35.4,2,184.200774381964
"301",2,50,5,42.4,3,190.1559520354
"302",4,71,1,60,6,223.727238682713
"303",2,70,4,31.6,8,167.653090769961
"304",10,90,8,25.4,8,163.594758893478
"305",2,84,4,64.5,1,197.948900199981
"306",2,88,10,46.6,7,176.696380666584
"307",7,38,2,32,8,213.442589095305
"308",5,74,4,44,3,182.668499996446
"309",5,88,5,59.1,5,206.247405211357
"310",10,38,10,33.1,2,204.400801540859
"311",3,43,9,66.2,6,254.796087687468
"312",4,82,1,36.4,6,167.764765343807
"313",8,54,5,44.5,7,223.443583591959
"314",8,69,6,42.8,3,194.097784033209
"315",6,44,5,32.6,5,195.755593236066
"316",8,64,9,28.5,2,166.357859002354
"317",3,40,6,62.2,8,256.692500221138
"318",10,83,1,30.1,4,168.120261242345
"319",5,47,1,44.5,4,211.117838067342
"320",5,64,9,51,4,206.955207254572
"321",3,88,6,32,5,146.053789018699
"322",8,67,7,38,6,195.647290613259
"323",6,57,4,53.2,5,225.211314728889
"324",2,50,8,47.5,2,196.20323020955
"325",8,81,7,55.6,3,208.55214650749
"326",8,75,5,53.8,6,220.28568917809
"327",5,58,6,61.9,5,237.580558995973
"328",5,65,1,20.7,6,155.015728408845
"329",6,46,10,57.6,6,244.987867752647
"330",3,64,1,42.3,4,185.353244332614
"331",4,61,3,30.4,1,157.842877481444
"332",10,52,3,26.8,7,197.577432561535
"333",6,60,10,26.7,4,165.722131258413
"334",2,85,4,41.4,5,164.354650097072
"335",2,75,6,53.4,1,183.419766922717
"336",5,72,5,67.7,1,224.386228575525
"337",6,51,7,68.4,6,262.675924998829
"338",4,76,5,70.1,6,238.156512981617
"339",6,38,7,66.7,3,261.128565247506
"340",10,69,3,61.9,5,245.445805202067
"341",8,44,5,38.5,5,214.004939975892
"342",3,72,5,57.3,7,216.31976672806
"343",5,62,2,72,6,258.202940859313
"344",10,48,1,70.3,3,274.422040274148
"345",2,75,6,28.2,5,146.567229623196
"346",8,57,3,42.5,3,204.754045865037
"347",4,83,4,40.1,5,170.189972818301
"348",10,86,9,15.7,5,138.222560170627
"349",4,54,6,30.9,1,164.108402239799
"350",9,73,1,51.3,8,227.855372321789
"351",4,56,4,72.4,1,244.487851175553
"352",9,51,5,27.5,8,199.13150946499
"353",7,40,4,68.5,5,273.402590589451
"354",6,67,5,62.5,8,244.03970405441
"355",10,51,3,23,5,184.63423746707
"356",7,83,10,48.2,6,197.647387808938
"357",9,46,8,36.2,5,210.262345118524
"358",4,66,10,54.8,6,215.434001469398
"359",6,51,10,65,7,258.356782344561
"360",3,45,8,53.4,2,215.47670008349
"361",2,44,8,50,7,222.194886252938
"362",5,82,6,35,2,154.307303369012
"363",3,88,6,55.2,2,182.146203123041
"364",10,86,3,60.6,2,218.586945832999
"365",10,45,1,56.2,8,265.171359100358
"366",5,49,10,47.8,2,207.101528894404
"367",5,60,3,44.5,2,192.927842721881
"368",2,57,9,58.3,5,220.590126971203
"369",9,62,1,63.7,5,252.286170727423
"370",10,81,2,16.3,3,139.291379392661
"371",2,78,9,20.7,4,125.235436747332
"372",4,59,7,67.4,5,243.928149096185
"373",6,44,4,40,5,210.57159441218
"374",9,44,6,27.1,2,185.136657539032
"375",4,57,5,52.5,4,213.743745351112
"376",10,85,9,27.4,6,165.264051139136
"377",3,55,7,72.1,1,240.635642881953
"378",6,44,7,67.3,5,263.431509702496
"379",3,49,2,37.3,2,181.961096197222
"380",5,58,4,56.7,3,221.553210735573
"381",5,71,8,37.1,6,180.152843079303
"382",7,45,6,60.6,7,259.328104446644
"383",3,76,1,44,4,178.256001959875
"384",4,84,8,44.8,4,174.312038067724
"385",9,40,1,18.4,8,191.887616954769
"386",3,62,2,20.3,1,134.061647063436
"387",4,40,4,20.3,7,175.016709337038
"388",4,50,5,32.8,3,177.935142377465
"389",6,59,7,36,5,188.852538827204
"390",2,60,7,54.5,6,214.219668911075
"391",10,43,10,36.7,2,207.128103385563
"392",10,39,5,58.6,6,267.6900292033
"393",8,66,6,46.5,1,197.638068084474
"394",3,87,9,53,8,196.91351730209
"395",7,69,1,66.8,4,242.468170187271
"396",10,69,4,43.3,5,208.612658757892
"397",7,60,2,40.5,7,207.842113906854
"398",10,72,1,39.6,2,190.021701565189
"399",3,61,10,58.3,6,223.338482499781
"400",8,65,7,35.7,1,177.008218207419
"401",8,51,7,20.5,5,171.992831901891
"402",8,71,3,25.7,4,162.720852275269
"403",9,85,2,56.8,8,227.959274040995
"404",7,55,9,58.2,6,241.932483145873
"405",7,56,2,69.9,1,250.087771069685
"406",8,44,2,31.8,7,207.983865223281
"407",8,67,9,34.6,4,182.082577060641
"408",10,44,10,43.4,4,225.772166451222
"409",3,66,4,35.8,8,182.714744981708
"410",5,80,4,23.1,8,152.220918468139
"411",3,40,6,45.7,7,221.085017393182
"412",5,79,1,40.7,8,188.496093445392
"413",5,43,8,41,4,205.834478967645
"414",3,67,1,68,4,233.264946833199
"415",9,67,2,38.4,7,204.275435524312
"416",3,38,2,30.5,5,187.677276330889
"417",2,83,6,17.9,7,125.702918690365
"418",9,48,1,62.5,4,258.934666564952
"419",6,53,10,36.2,6,196.829900970277
"420",6,55,3,53.2,1,214.534089024433
"421",5,48,10,29.5,6,184.68305327439
"422",5,74,2,37.4,8,186.089577796365
"423",6,49,2,53.4,4,229.930306011755
"424",3,59,5,40.5,6,191.431596972499
"425",3,71,3,27.4,8,162.12120709178
"426",9,43,8,51.4,3,236.409519400387
"427",2,62,8,34.4,1,156.840393129898
"428",3,78,10,62.1,8,222.362836935867
"429",4,52,6,39.3,8,204.561685491968
"430",10,81,9,24.3,7,165.821239912582
"431",2,72,10,22.5,8,146.410552556202
"432",6,77,3,46.1,3,187.781405449252
"433",3,42,5,50.5,2,213.192491036324
"434",4,57,7,28.2,2,159.09346607506
"435",9,67,2,54.1,1,216.10969590001
"436",8,85,7,66.1,5,232.056529808509
"437",10,42,4,45,1,222.756550936337
"438",3,52,8,43.3,6,202.218499776974
"439",6,64,1,47.1,1,195.25117778289
"440",4,83,1,33.1,4,154.064623437941
"441",7,47,1,67.6,3,260.007719437572
"442",4,46,4,68.9,7,265.335828021193
"443",5,43,4,66.2,6,262.79191066503
"444",6,42,7,49.4,6,233.154758575136
"445",4,44,4,21.9,5,168.339285862502
"446",4,72,8,48.5,8,204.710729319751
"447",4,90,3,15.1,3,108.881005475535
"448",8,46,6,21,5,177.59433664539
"449",6,52,3,71.2,2,255.700079288522
"450",9,79,1,48.3,4,204.052317895908
"451",5,79,4,72.4,1,227.805032300763
"452",8,66,7,18.3,1,141.933082839105
"453",6,77,8,27.7,3,150.265587245993
"454",7,72,8,59.4,4,223.428633786548
"455",10,54,10,31,7,202.211295586736
"456",7,42,2,26.9,4,187.251175013961
"457",9,48,9,16.5,2,160.01241573087
"458",6,38,10,70.2,7,279.888086396808
"459",7,38,8,55.3,1,235.431792699049
"460",7,49,7,28.4,1,173.251083539093
"461",8,79,5,46.9,5,200.070334986733
"462",10,90,2,24.5,4,150.753237053414
"463",9,61,3,42.1,8,219.671073097374
"464",7,52,4,49.5,2,216.098416136425
"465",4,58,3,21.2,4,151.881677585623
"466",7,60,2,69.5,3,252.164754065181
"467",10,74,3,58.1,1,220.940025083902
"468",9,69,5,41.4,3,194.940114213191
"469",9,52,9,51.8,3,229.097539379905
"470",6,62,6,54.3,5,222.486157685395
"471",8,38,9,37,2,205.685415677445
"472",5,50,1,35,6,196.175818073688
"473",3,69,7,17.4,1,120.926492469899
"474",4,45,7,69.4,3,253.695747979042
"475",3,47,2,69.1,1,243.042407420072
"476",3,52,5,65.3,6,246.273339996959
"477",2,52,1,20.3,5,152.390406223769
"478",3,41,10,57.6,3,229.84643207829
"479",5,79,6,35.8,8,177.518798556313
"480",8,89,6,35.3,3,161.955609146801
"481",4,42,9,29,8,192.206174222425
"482",10,46,6,27.1,3,189.893826916768
"483",6,90,3,26,7,149.645474477932
"484",3,55,4,53.5,1,204.878331505221
"485",9,89,5,26.8,4,152.012151768471
"486",5,58,2,65.7,2,236.61196725701
"487",4,56,3,72.5,8,267.153960815418
"488",4,86,10,21.1,3,122.272903522854
"489",10,90,2,23.6,1,139.469472500591
"490",9,56,10,56.5,2,231.416698306464
"491",8,58,5,61.9,3,241.483041700915
"492",8,74,5,37.4,3,179.401695768654
"493",7,83,1,27.3,1,143.12490154523
"494",7,90,1,55.4,8,214.475422800345
"495",9,53,7,70.9,4,269.48413520909
"496",6,89,8,15.2,4,118.425259868224
"497",2,58,7,64.8,7,239.378944262225
"498",3,59,5,48.6,6,207.354710961007
"499",3,88,3,41.5,5,165.535922466295
"500",9,47,6,19.3,7,183.051055331634
"501",3,57,9,33.6,6,178.531482848996
"502",2,75,1,71.7,8,242.939572690622
"503",3,61,4,18.7,8,153.448919822824
"504",5,50,5,67,1,242.148562901543
"505",7,65,7,19.5,6,157.694025100792
"506",4,67,1,38,1,168.101435485885
"507",6,42,3,46,7,230.718327288892
"508",2,67,10,60.4,3,209.40708775381
"509",10,41,8,27.6,8,210.546004801704
"510",8,41,1,56.3,3,246.339072333854
"511",8,87,10,24.2,7,153.485105101391
"512",7,45,1,16.4,3,161.097767580165
"513",8,74,3,43.1,7,203.830807144199
"514",7,70,8,30.8,4,168.94613577362
"515",5,53,3,23.5,1,154.563678243905
"516",3,72,3,28.6,2,144.581200070359
"517",3,58,7,22.1,4,149.249562834164
"518",9,73,2,19.2,1,142.283133344608
"519",2,51,3,28.6,3,162.695673751255
"520",3,87,3,62.2,4,203.926742534116
"521",4,74,6,33.9,7,171.636360372621
"522",6,62,1,51.2,2,208.222390574934
"523",4,74,3,72.6,1,229.491277510095
"524",7,67,10,49.1,2,200.649423801315
"525",4,71,8,68.9,5,236.168784648227
"526",9,67,3,69.6,7,265.339952861333
"527",6,87,4,70.4,6,236.097042901639
"528",7,48,10,45.4,5,219.419055543724
"529",9,84,3,50.1,1,193.188702766457
"530",6,50,6,17.2,4,156.821984590326
"531",3,61,7,41.5,2,178.433601344657
"532",4,66,2,69.2,7,249.064939694478
"533",2,70,2,43.2,4,178.308440634844
"534",2,85,7,37.9,8,166.181945565433
"535",10,66,2,56.3,7,243.65899373515
"536",9,84,2,64.7,5,234.844622597082
"537",10,57,5,46.9,1,213.173730481649
"538",9,60,10,64.2,2,243.073775513661
"539",8,78,4,61.5,8,239.424672470103
"540",6,70,9,32.6,1,159.375602545143
"541",7,82,10,55.8,7,216.629030956103
"542",3,38,7,60.2,2,235.202704122571
"543",3,39,7,71.2,7,271.814307983143
"544",7,69,5,54.6,3,214.237863421574
"545",9,49,8,59,7,258.816199424722
"546",6,90,7,24,3,131.951966773294
"547",3,87,2,34.6,5,153.110674635946
"548",7,42,8,60.1,8,263.588571153877
"549",8,63,7,45.7,5,211.092278261242
"550",2,83,6,56.8,1,183.144122835617
"551",6,70,6,65.3,3,230.8076995391
"552",5,74,2,43.4,7,194.712967158707
"553",2,76,3,18.1,5,126.649431310539
"554",7,80,5,28,8,168.235489899314
"555",7,41,6,64.1,2,253.830623065489
"556",5,50,9,30.8,1,169.910169021263
"557",9,70,5,45,8,217.004675664509
"558",3,40,10,44.6,5,211.503764352962
"559",10,54,1,24.1,5,184.724770573315
"560",3,50,3,62.9,3,234.318623247468
"561",4,73,9,42.3,8,191.383780452637
"562",3,69,1,45.7,5,190.858892757364
"563",4,57,10,55.7,3,215.518054562138
"564",6,49,7,55.5,1,223.199197250002
"565",5,81,6,52.6,6,202.461641599299
"566",7,73,4,36.5,2,172.274322729018
"567",2,70,3,45.6,5,185.928951456686
"568",9,63,8,23.6,5,170.704288492428
"569",3,43,1,69.6,8,269.974553841249
"570",8,77,8,24.9,2,148.240820183834
"571",10,84,2,63.8,6,239.572412169503
"572",2,44,1,23.5,2,156.125909821479
"573",10,65,6,52.5,4,226.46845368484
"574",7,50,4,27.5,4,180.933327076125
"575",4,62,7,61.6,2,220.402100865139
"576",3,60,1,30.3,1,155.728626330505
"577",6,52,7,57.1,2,226.906230981826
"578",3,70,4,17.6,2,124.428114426093
"579",2,90,5,64.1,6,207.53159901153
"580",9,64,9,45.2,2,202.512509821895
"581",3,41,5,45,1,200.078917709218
"582",10,49,9,49.5,7,243.197498082476
"583",4,43,10,43.8,8,220.161372732924
"584",3,90,10,25.6,2,121.142343336285
"585",6,90,4,67.9,8,234.915738700522
"586",6,66,7,53.7,7,223.901018605673
"587",3,67,2,32.5,3,160.037990944351
"588",10,43,2,54.5,6,256.957347517943
"589",3,85,6,53.9,2,182.200424242159
"590",8,79,4,52.9,4,208.962683115936
"591",5,71,1,63.2,7,236.514876076478
"592",10,43,7,42.8,7,235.784010033088
"593",9,43,10,59.2,1,244.861951115829
"594",10,67,3,54.9,3,227.081924715019
"595",6,89,1,59.4,2,200.854042606606
"596",10,75,7,24.1,5,164.842539608029
"597",8,90,8,48,1,179.170614375871
"598",10,53,6,59.3,4,250.275136662804
"599",5,42,7,26,2,171.14309737198
"600",8,71,10,66.1,1,230.742599530395
"601",9,42,1,53.1,1,236.161026653797
"602",7,63,5,51,6,221.89501878323
"603",6,68,4,53.5,2,206.71732707358
"604",7,68,6,53.8,8,229.123728404448
"605",3,61,5,58.6,2,212.586981743006
"606",5,76,8,22.4,1,131.048152767212
"607",7,39,2,58.9,4,252.767086974722
"608",2,64,2,54.8,6,212.67449754332
"609",2,54,1,66.3,5,241.078112063862
"610",5,52,5,46.7,2,203.67414190929
"611",2,46,10,27.8,1,157.246927078735
"612",5,45,6,22.7,7,178.172628369502
"613",2,40,9,46.5,6,215.353769866
"614",4,73,6,55.7,3,202.6750489712
"615",8,58,2,56.4,3,231.477927021645
"616",6,44,6,21.6,3,167.519632732696
"617",6,60,10,32.3,7,186.245233557654
"618",8,41,2,44.1,3,222.087151757143
"619",2,43,5,56,2,219.809039903396
"620",8,50,2,19.9,4,169.856553463863
"621",10,84,3,32.8,1,162.505591165101
"622",9,73,5,37.6,5,190.333320966598
"623",5,49,8,57.9,7,243.351742942233
"624",10,76,4,19.6,7,162.276333706209
"625",6,47,4,30.5,8,198.80108430693
"626",8,58,9,57.8,7,245.033398365744
"627",9,50,10,44.6,4,219.586066482849
"628",9,53,6,53,5,237.736487766294
"629",3,44,2,54.2,5,229.047563124446
"630",8,52,4,51.2,5,232.28034849431
"631",6,86,9,34.6,1,149.388394970346
"632",2,41,2,61.2,8,251.607076634011
"633",6,87,9,73,5,236.69186218759
"634",6,88,3,39.7,7,178.317016182768
"635",3,73,7,36.2,7,173.433192621399
"636",2,49,9,62,2,225.308538839809
"637",2,60,1,17.5,6,143.098209465968
"638",4,87,9,17.8,4,118.356250049058
"639",9,70,8,51.3,6,222.239423800404
